"id","topic1","topic2","topic3","topic4","topic5","topic6","topic7","topic8","topic9","topic10","timestamp","user_id"
111,0,0,0,0,0,0,0,0,1,0,"2019-10-22 00:29:29",54
112,0,0,0,0,0,0,0,0,1,1,"2019-10-22 03:32:52",234
113,1,0,0,0,0,0,0,0,1,0,"2019-10-22 05:27:54",107
114,1,0,0,0,0,0,0,0,1,0,"2019-10-22 05:31:00",107
115,0,0,1,0,0,0,0,0,0,0,"2019-10-22 07:54:38",872
116,1,0,0,0,0,0,0,0,1,1,"2019-10-22 08:33:57",952
117,1,0,0,0,0,0,0,0,1,0,"2019-10-22 10:40:38",960
118,0,0,0,0,0,0,0,0,0,0,"2019-10-22 12:03:58",354
119,0,1,1,0,0,1,0,0,0,0,"2019-10-22 12:17:54",545
120,1,0,0,0,0,0,0,0,1,0,"2019-10-22 13:54:59",107
121,0,0,0,1,0,0,0,0,1,0,"2019-10-22 18:09:45",967
122,0,0,1,0,0,0,0,0,0,0,"2019-10-22 19:15:58",872
123,0,0,0,0,0,0,0,0,1,0,"2019-10-22 19:23:27",872
124,0,0,0,0,0,0,0,0,1,0,"2019-10-22 19:23:31",872
125,0,0,0,0,0,0,0,1,1,0,"2019-10-22 19:36:04",938
126,0,0,0,0,0,0,0,0,0,0,"2019-10-22 21:39:53",983
127,0,1,0,0,0,0,0,1,0,0,"2019-10-22 21:42:06",983
128,0,0,0,0,0,0,0,0,0,0,"2019-10-22 21:42:22",983
129,1,0,0,0,0,0,0,1,0,1,"2019-10-22 22:50:12",641
130,0,0,0,0,0,0,0,1,0,0,"2019-10-22 23:01:45",641
131,1,0,0,0,0,0,0,0,1,0,"2019-10-23 06:52:24",107
132,0,0,0,0,0,0,0,0,0,1,"2019-10-23 08:31:17",310
133,1,0,0,1,0,0,0,0,1,0,"2019-10-23 08:32:18",310
134,0,0,0,0,0,0,0,0,0,0,"2019-10-23 08:34:37",310
135,1,0,0,0,0,0,0,0,0,0,"2019-10-23 08:51:11",872
136,0,0,1,0,0,0,0,0,0,0,"2019-10-23 08:54:56",872
137,0,0,1,0,0,1,0,0,0,1,"2019-10-23 08:59:25",872
138,0,1,0,1,0,1,0,0,0,0,"2019-10-23 09:33:46",398
139,1,1,0,0,0,0,0,1,0,0,"2019-10-23 09:40:54",535
140,1,0,0,0,0,0,0,0,0,1,"2019-10-23 10:42:25",314
141,1,0,0,0,0,0,0,0,0,1,"2019-10-23 10:44:59",314
142,0,0,0,0,0,0,0,0,0,0,"2019-10-23 11:53:26",134
143,1,0,0,1,0,0,0,0,1,0,"2019-10-23 11:59:41",568
144,0,0,0,0,0,0,0,0,0,0,"2019-10-23 12:43:37",354
145,1,1,1,0,0,0,0,0,0,0,"2019-10-23 12:48:45",545
146,0,0,0,0,0,0,0,0,1,1,"2019-10-23 13:02:16",72
147,0,0,0,0,0,0,0,0,1,1,"2019-10-23 13:02:18",72
148,0,0,0,0,0,0,0,0,1,1,"2019-10-23 13:02:21",72
149,1,0,0,0,0,0,0,0,0,0,"2019-10-23 13:23:04",1002
150,1,1,0,0,0,0,0,0,1,0,"2019-10-23 14:14:37",484
151,1,0,1,0,0,0,0,0,0,1,"2019-10-23 14:22:03",566
152,1,1,1,0,0,0,0,0,0,0,"2019-10-23 14:32:53",354
