"user_id","group","gender","age","edu","pol_knowledge","overconfidence","political_efficacy","pol_interest","overall_media_usage","news_topic_interest","div_trait","div_trait2","news_pref_strength","desirability_of_control","beh_int","first_login","last_visit","number_logins","number_stories_read","m_tv1","m_tv2","m_newspaper","m_computer","m_mobile","t_buit","t_bin","t_econ","t_crime","t_sport","t_ent","t_mil","t_imm","Diversity_1","Diversity_2","Diversity_3","Diversity_4","system_control","strategy_control","satisfaction","control_overall","avg_rating2"
72,4,2,56,6,7,-6,3.66666666666667,3,4.6,4.75,5,6,6.5,2.4,1,2019-10-16 15:44:58,2019-11-07 09:27:39,12,62,1,5,8,8,1,4,6,7,2,6,1,7,5,5,6,2,6,1,1,3.14285714285714,1,2.82258064516129
101,1,2,40,6,0,0,3.33333333333333,3,5.2,4,4,6,4.5,4.9,6,2019-10-16 17:11:12,2019-11-08 22:26:34,14,380,3,3,6,7,7,5,5,3,4,1,5,5,4,6,4,6,4,4.5,4,4.85714285714286,4.22222222222222,2.48947368421053
68,1,1,48,5,5,-4,2.33333333333333,2,5.8,4.5,4,7,5.75,3.1,5,2019-10-16 15:26:40,2019-10-31 08:11:05,22,90,7,5,2,7,8,5,6,4,4,5,5,3,4,6,5,6,5,3,3.2,4,3.11111111111111,2.9
171,4,1,37,7,10,-6,4.33333333333333,6,5.4,5,6,8,5.25,3.7,2,2019-10-16 20:22:06,2019-10-27 19:24:02,10,72,6,3,5,5,8,5,6,5,4,4,5,6,5,5,4,5,4,3.75,2.8,3.85714285714286,3.22222222222222,1.875
22,3,2,25,7,5,-5,4,3,4.6,2.875,0,3,4,4.5,3,2019-10-16 10:58:13,2019-11-20 16:34:02,22,50,6,3,3,5,6,3,4,2,2,2,4,4,2,6,5,6,4,3.5,4.2,5.57142857142857,3.88888888888889,2.67
465,1,2,22,4,3,-3,2.33333333333333,2,2.8,2.375,1,3,7,4.2,2,2019-10-18 08:27:46,2019-10-28 09:19:42,9,49,8,3,1,1,1,1,4,1,1,1,4,6,1,6,6,6,5,2.25,1.4,3.14285714285714,1.77777777777778,1.89795918367347
268,4,1,36,5,10,-10,4.66666666666667,6,4.2,4.5,4,6,7,4.1,6,2019-10-17 06:56:02,2019-10-27 20:41:28,9,81,2,2,1,8,8,7,7,4,4,1,1,7,5,5,5,5,5,3.5,4.4,6.57142857142857,4,3.85802469135802
88,2,2,60,4,7,-1,4.33333333333333,4,5.8,4.75,6,6,5.25,3.1,2,2019-10-16 16:54:13,2019-10-26 12:24:52,14,125,8,3,8,5,5,5,6,6,5,3,3,5,5,3,3,4,3,2.75,2.4,2.71428571428571,2.55555555555556,3.336
48,1,1,34,6,3,-1,4.66666666666667,3,5.6,5.375,8,8,4,4.2,1,2019-10-16 14:16:48,2019-11-18 09:48:49,16,135,6,5,6,6,5,6,5,6,6,5,5,5,5,5,7,5,6,2,2,2.71428571428571,2,2.24074074074074
566,4,2,58,5,9,0,4.33333333333333,5,8,4.375,4,6,6.25,3.3,6,2019-10-18 13:33:36,2019-10-25 05:38:59,8,109,8,8,8,8,8,5,6,5,5,3,3,4,4,7,6,7,3,5,6.2,5.85714285714286,5.66666666666667,2.22018348623853
